apple_id,apple_title,apple_size,apple_price,apple_reviews,apple_rating,apple_pegi,apple_genre,normed_apple_rating,z_score_apple,log_apple_reviews
281656475,PAC-MAN Premium,96.119140625,3.99,21292,4.0,Everyone,Games,0.8,-0.08398744916625872,4.328216457500717
281796108,Evernote - stay organized,151.232421875,0.0,161065,4.0,Everyone,Business,0.8,-0.08398744916625872,5.207001176928917
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",95.8671875,0.0,188583,3.5,Everyone,Others,0.7,-0.8060181649123952,5.275502540262622
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",122.55859375,0.0,262241,4.0,Teen,Lifestyle,0.8,-0.08398744916625872,5.418700592318758
282935706,Bible,88.4765625,0.0,985920,4.5,Everyone,Books & Reference,0.9,0.6380432665798778,5.993841676636846
283619399,Shanghai Mahjong,9.999955177307129,0.99,8253,4.0,Everyone,Games,0.8,-0.08398744916625872,3.9166118451093457
283646709,PayPal - Send and request money safely,217.2431640625,0.0,119487,4.0,Everyone,Business,0.8,-0.08398744916625872,5.0773206572893255
284035177,Pandora - Music & Radio,124.208984375,0.0,1126879,4.0,Teen,Entertainment,0.8,-0.08398744916625872,6.0518772856525835
284666222,PCalc - The Best Calculator,46.96875,9.99,1117,4.5,Everyone,Utilities,0.9,0.6380432665798778,3.048053173115609
284736660,Ms. PAC-MAN,66.779296875,3.99,7885,4.0,Everyone,Games,0.8,-0.08398744916625872,3.896801697664921
284791396,Solitaire by MobilityWare,47.3203125,4.99,76720,4.5,Everyone,Games,0.9,0.6380432665798778,4.884908594162607
284815117,SCRABBLE Premium,217.005859375,7.99,105776,3.5,Everyone,Games,0.7,-0.8060181649123952,5.024387139816889
284815942,Google – Search made just for mobile,171.6416015625,0.0,479440,3.5,Mature 17+,Utilities,0.7,-0.8060181649123952,5.680734264688428
284847138,Bank of America - Mobile Banking,153.470703125,0.0,119773,3.5,Everyone,Business,0.7,-0.8060181649123952,5.078358927631074
284862767,FreeCell,52.5986328125,4.99,6340,4.5,Everyone,Games,0.9,0.6380432665798778,3.802089257881733
284876795,TripAdvisor Hotels Flights Restaurants,198.2763671875,0.0,56194,4.0,Everyone,Auto & Vehicles,0.8,-0.08398744916625872,4.749689947134911
284882215,Facebook,371.818359375,0.0,2974676,3.5,Everyone,Social Networking,0.7,-0.8060181649123952,6.473439669535169
284910350,"Yelp - Nearby Restaurants, Shopping & Services",159.65234375,0.0,223885,4.0,Teen,Auto & Vehicles,0.8,-0.08398744916625872,5.350024997395678
284993459,"Shazam - Discover music, artists, videos & lyrics",140.279296875,0.0,402925,4.0,Teen,Entertainment,0.8,-0.08398744916625872,5.6052242145842355
285005463,Crash Bandicoot Nitro Kart 3D,10.23771858215332,2.99,31456,4.0,Everyone,Games,0.8,-0.08398744916625872,4.497703496152042
285946052,iQuran,67.43232345581055,1.99,2929,4.5,Everyone,Books & Reference,0.9,0.6380432665798778,3.4667193716815983
285994151,:) Sudoku +,5.8837890625,2.99,11447,5.0,Everyone,Games,1.0,1.3600739823260142,4.058691682819229
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",124.5341796875,0.0,137951,4.0,Everyone,Health & Fitness,0.8,-0.08398744916625872,5.139724853005909
286070473,Mileage Log | Fahrtenbuch,67.9052734375,5.99,8,4.5,Everyone,Business,0.9,0.6380432665798778,0.9030899869919434
286799607,Cleartune - Chromatic Tuner,10.893829345703125,3.99,3241,4.0,Everyone,Entertainment,0.8,-0.08398744916625872,3.51067903103221
286906691,Lifesum – Inspiring healthy lifestyle app,179.3076171875,0.0,5795,3.5,Everyone,Health & Fitness,0.7,-0.8060181649123952,3.7630534402996143
286911400,Hangman.,4.544921875,0.0,42316,3.0,Everyone 10+,Games,0.6,-1.5280488806585317,4.626504608459311
288113403,iTranslate - Language Translator & Dictionary,274.5947265625,0.0,123215,3.5,Everyone,Business,0.7,-0.8060181649123952,5.090663581372928
288120394,TouchOSC,4.06640625,4.99,782,4.0,Everyone,Entertainment,0.8,-0.08398744916625872,2.893206753059848
288419283,RadarScope,164.7685546875,9.99,3449,4.0,Everyone,Others,0.8,-0.08398744916625872,3.5376931943673906
288429040,LinkedIn,261.158203125,0.0,71856,3.5,Everyone,Social Networking,0.7,-0.8060181649123952,4.8564630377186395
289084315,Period Tracker Deluxe,38.353515625,1.99,13350,4.5,Teen,Health & Fitness,0.9,0.6380432665798778,4.125481265700594
289446241,Election 2016 Map,2.2763671875,0.99,137,3.0,Everyone,Entertainment,0.6,-1.5280488806585317,2.1367205671564067
289523017,Blackjack by MobilityWare,100.546875,0.0,180087,3.5,Teen,Games,0.7,-0.8060181649123952,5.2554823633912235
289894882,White Noise,42.0849609375,0.99,33426,4.0,Everyone,Health & Fitness,0.8,-0.08398744916625872,4.524084408843086
290638154,iHeartRadio – Free Music & Radio Stations,111.048828125,0.0,293228,4.0,Teen,Entertainment,0.8,-0.08398744916625872,5.467205438223152
290807369,Line Rider iRide™,1.5703125,1.99,21609,3.5,Everyone 10+,Entertainment,0.7,-0.8060181649123952,4.334634669496351
290986013,Deliveries: a package tracker,28.6259765625,4.99,4684,4.0,Everyone,Utilities,0.8,-0.08398744916625872,3.670616886400325
291430598,Hurricane Pro,28.1513671875,2.99,2104,4.5,Mature 17+,Others,0.9,0.6380432665798778,3.3230457354817013
292421271,Fieldrunners,63.7744140625,2.99,41633,4.0,Everyone 10+,Games,0.8,-0.08398744916625872,4.619437706502987
292628469,Juxtaposer,43.1337890625,2.99,3610,4.5,Everyone,Social Networking,0.9,0.6380432665798778,3.5575072019056577
292738169,Deezer - Listen to your Favorite Music & Playlists,121.5654296875,0.0,4677,3.0,Teen,Entertainment,0.6,-1.5280488806585317,3.6699673699085036
293118835,iStellar,42.1923828125,3.99,30,3.5,Everyone,Auto & Vehicles,0.7,-0.8060181649123952,1.4771212547196624
293523031,Sonos Controller,102.9814453125,0.0,48905,4.5,Everyone,Entertainment,0.9,0.6380432665798778,4.6893532632422525
293573778,Avertinoo,7.671875,4.99,32,3.0,Everyone,Auto & Vehicles,0.6,-1.5280488806585317,1.5051499783199058
293622097,Google Earth,35.490234375,0.0,446185,3.5,Everyone,Auto & Vehicles,0.7,-0.8060181649123952,5.649514965932737
293760823,iFart - The Original Fart Sounds App,57.5263671875,1.99,21825,3.0,Everyone 10+,Entertainment,0.6,-1.5280488806585317,4.338954252377607
293778748,PAC-MAN,96.177734375,0.0,508808,3.0,Everyone,Games,0.6,-1.5280488806585317,5.706553931116264
